!!!COM: LIMuse
!!!OTL: Fragment
**kern	**kern	**kern	**kern	**kern	
*staff1	*staff2	*staff3	*staff4	*staff5	
*Ipiano	*Ipiano	*Ipiano	*Ipiano	*Ipiano	
*clefF4	*clefG2	*clefG2	*clefG2	*clefG2	
*k[]		*k[]		*k[]		*k[]		*k[]		
*M4/8		*M4/8		*M4/8		*M4/8		*M4/8		
*MM80		*MM80		*MM80		*MM80		*MM80		
=1	=1	=1	=1	=1	
2r	2r	2a/	2r	2r
6F/	6r	6r	6r	6r
6r	6r	16a/LL	6r	6r
6r	6r	16b-/JJ	6r	6r
16F\LL	6r	4a'/	6r	6r
16C\	6r	6r	6r	6r
16D\	6r	6r	6r	6r
16C\JJ	6r	6r	6r	6r
=2	=2	=2	=2	=2	
4F\	4r	16a/LL	4r	4r
6r	6r	16f/	6r	6r
6r	6r	16a/	6r	6r
6r	6r	16cc/JJ	6r	6r
4r	6r	16ff\LL	6r	6r
6r	6r	16cc\	6r	6r
6r	6r	16ff\	6r	6r
rcr	16aa\JJ	r	r	r
4r	6r	16ccc\LL	6r	6r
6r	6r	16aa\	6r	6r
6r	6r	16ccc\	6r	6r
6r	6r	16ff\JJ	6r	6r
=3	=3	=3	=3	=3	
2r	6r	16aa\LL	6r	6r
6r	6r	16ccc\	6r	6r
6r	6r	16fff\	6r	6r
6r	6r	16ccc\JJ	6r	6r
6r	6r	16aa\LL	6	6r
ccc\L	.r	.r	.r	.r
16c\	6r	6r	6r	6r
16f\JJ	6r	16ff\JJ	6r	6r
=4	=4	=4	=4	=4	
4f'\	4r	16ccc\LL	4r	4r
6r	6r	16ff\	6r	6r
6r	6r	16aa\	6r	6r
6r	6r	16ccc\JJ	6r	6r
8r	6r	16fff\LL	6r	6r
6r	6r	16ccc\	6r	6r
8c'\	8r	16ddd\	8r	8r
6r	6r	16ccc\JJ	6r	6r
=5	=5	=5	=5	=5	
(44.rg\	4.r	16bbn\LL	4.r	4.r
6r	6r	16ccc\	6r	6r
6r	6r	16bb\	6r	6r
6r	6r	16ccc\JJ	6r	6r
6r	6r	16gg\LL	6r	6r
6r	6r	16ccc\	6r	6r
8cc\)	8r	16gg\	8r	8r
6r	6r	16ccc\JJ	6r	6r
=6	=6	=6	=6	=6	
(44.rgg\	4.r	16bbn\LL	4.r	4.r
6r	6r	16ccc\	6r	6r
6r	6r	16bb\	6r	6r
6r	6r	16ccc\JJ	6r	6r
6r	6r	16gg\LL	6r	6r
6r	6r	16ee\	6r	6r
8b-\)	8r	16cc\	8r	8r
6r	6r	16cc\JJ	6r	6r
4dd\	4r	16f/LL	4r	4r
6r	6r	16f/	6r	6r
6r	6r	16a/	6r	6r
6r	6r	16f/JJ	6r	6r
=7	=7	=7	=7	=7	
4r	6r	16cc\LL	6r	6r
6r	6r	16ff\	6r	6r
6r	6r	16cc\	6r	6r
6r	6r	16aa\JJ	6r	6r
4r	6r	16bb-\LL	6r	6r
6r	6r	16aa\	6r	6r
6r	6r	16bb-\	6r	6r
6r	6r	16ccc\JJ	6r	6r
8r	6r	16ddd\LL	6r	6r
6r	6r	16ccc\	6r	6r
8c\	8r	16bb\	8r	8r
6r	6r	16aa\JJ	6r	6r
=8	=8	=8	=8	=8	
4f\	4r	16gg\LL	4r	4r
6r	6r	16ff\	6r	6r
6r	6r	16ee\	6r	6r
6r	6r	16ff\JJ	6r	6r
